Suburb,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Growth(PA)
CHILTERN,171500,187500,220000,250000,240000,260000,223500,321000,330000,395000,390000,NA,8.6
CHIRNSIDE PARK,450000,490500,542500,627000,735000,700000,680500,750000,900000,925000,900000,875000,7.2
CHURCHILL,182000,178500,172500,182000,175000,180000,185000,226000,305000,360000,345000,345000,6.6
CLARINDA,525000,606500,682500,751000,866000,802500,820000,851500,1024500,1060000,950000,1075000,6.1
CLAYTON,645000,750000,976000,1010500,1250000,1255000,1158000,1055000,1200000,1123000,1165000,1020000,6.1
CLAYTON NORTH,630000,850000,1100000,1100000,1234500,1330000,1377500,1330000,1300000,1345000,1306000,1235000,7.6
CLAYTON SOUTH,526500,580000,687500,755000,850500,850000,832000,830000,982500,975000,947500,895000,6.1
CLIFTON HILL,867000,965000,1085000,1220000,1390000,1364500,1348000,1375000,1750000,1710000,1725000,1200000,7.1
CLIFTON SPRINGS,337500,344000,345000,365000,420000,472000,485000,518500,666000,710000,670000,745000,7.1
CLUNES,219000,237500,245000,255000,263000,354000,320000,357500,450000,500000,510000,420000,8.8
CLYDE,397000,406000,397000,435000,430000,505000,542500,572000,613000,682500,675500,666500,5.5
CLYDE NORTH,409000,380000,410000,491000,550000,595000,570000,605000,660000,730500,720000,725000,5.8
COBBLEBANK,335500,323000,318000,328000,374000,460000,480000,510000,565000,645000,642500,605000,6.7
COBDEN,162500,145000,178500,177000,263000,225000,237000,272000,349000,386000,395000,351000,9.3
COBRAM,218000,230000,236000,265000,255000,255000,272500,300000,370000,414000,437500,389000,7.2
COBURG,633000,710000,778000,876000,1000000,966500,935500,1085000,1257500,1216500,1180000,1085000,6.4
COBURG EAST,560000,597500,675000,762500,865000,841500,825000,981000,1102000,1072500,1130000,883000,7.3
COBURG NORTH,540000,600000,665000,780000,822000,814000,805000,899000,1008500,1020000,980000,937000,6.1
COCKATOO,355000,365000,385500,430000,539500,591000,580000,610000,730500,770000,760000,792500,7.9
COHUNA,139000,175000,175000,157500,180000,177500,204000,232500,260000,285000,325000,375000,8.9
COLAC,226500,235000,246500,259500,282500,320000,315000,350000,420000,500000,480000,435000,7.8
COLDSTREAM,385000,405000,441000,521000,597500,660000,635000,648000,767000,780000,805000,826500,7.7
COLERAINE,118000,95000,96000,90000,133000,114000,144000,127000,174000,282000,207500,174500,5.8
COLLINGWOOD,741000,775000,914000,920000,1205000,1110000,1060000,1155000,1251500,1302000,1225000,1230000,5.2
CONNEWARRE,612500,722500,800000,892000,955000,1200000,1345000,1647500,1625000,2570000,1896500,1800000,12.0
COOLAROO,290000,290000,302500,340000,451000,480000,441000,477000,500000,530000,530500,527500,6.2
COONANS HILL,655000,728500,743000,870000,963000,927000,902500,1055000,1213000,1207500,1205000,NA,6.3
COONGULLA,150000,205000,189000,185000,192000,242000,335000,285000,280000,377500,457500,NA,11.8
CORINELLA,330000,270000,370000,325000,391000,450000,357500,510000,670000,777500,695000,600000,7.7
CORIO,230000,242000,240000,250000,305000,370000,351500,390000,457000,520000,480000,475000,7.6
CORONET BAY,251000,249000,240000,266000,325500,345000,370000,407500,522500,635000,580000,595000,8.7
CORRYONG,166500,135000,160000,164000,180000,162500,236000,226500,240000,310000,320000,285000,6.8
COWES,387500,357500,412500,400000,440000,541000,557500,589500,880000,875000,800000,725000,7.5
COWES WEST,320000,350000,329000,353500,390000,485500,508500,545000,705000,820000,779000,765000,9.3
CRAIGIEBURN,360000,362000,390000,425000,502500,546500,525000,560000,616000,660000,650000,656000,6.1
CRANBOURNE,315000,331500,360000,406000,510000,540000,500000,510000,618000,660000,655000,639000,7.6
CRANBOURNE EAST,390000,410000,437000,460000,535000,574500,567000,590000,670000,720000,707500,720000,6.1
CRANBOURNE NORTH,370000,375000,410000,455000,541000,600000,570000,587500,653500,720000,710000,732500,6.7
CRANBOURNE SOUTH,-,455000,685000,685000,600000,425000,632500,634000,710000,795000,721000,660000,NA
CRANBOURNE WEST,330000,335000,350000,410000,510500,540000,508000,510000,600000,680000,657500,637500,7.1
CREMORNE,821000,886500,1030000,1072000,1230000,1420000,1290000,1410000,1500000,1315000,1335000,NA,5.0
CRESWICK,245000,270000,265000,292500,311500,324000,350000,387500,500000,545000,529000,484500,8.0
CRIB POINT,355000,339000,350000,402000,502500,555000,527500,578500,740000,785000,755000,510000,7.8
CROYDON,470000,525000,605000,695000,809000,792500,735000,787500,920000,900000,916000,895000,6.9
CROYDON HILLS,571500,606000,697000,730000,875000,877500,835000,920000,1100000,1107000,1180000,900000,7.5
CROYDON NORTH,540500,600000,702500,790500,872000,840000,827500,860500,1050000,1069000,1075000,1180000,7.1
CROYDON SOUTH,442000,530000,600000,655000,800000,757500,715500,740000,890000,864000,885500,995000,7.2
CURLEWIS,385500,382500,387000,405000,426000,495000,565000,572500,650000,705000,667500,645000,5.6
DALLAS,280000,295000,321500,345000,430000,490000,451500,467500,526500,524500,512500,531500,6.2
DALYSTON,245000,260000,257000,255000,273500,305000,373000,421000,536000,580000,525000,556500,7.9
DANDENONG,405000,439000,485000,555500,620000,640000,601000,630000,700000,740000,687500,710000,5.4
DANDENONG NORTH,390000,415500,481000,551000,633500,640000,606500,640000,729000,738500,721000,753000,6.3
DANYO,54500,78500,60500,40000,84000,78500,40000,80000,117500,180000,164000,NA,11.6
DARLEY,330500,360000,377500,371500,430000,505000,520000,500000,610000,710000,695000,600000,7.7
DAYLESFORD,385000,401500,442500,464000,502000,552500,592500,692500,835000,910000,899000,1035000,8.9
DEANSIDE,-,-,-,-,340000,456500,335000,499500,540000,585000,640000,660000,NA
DEEPDENE,1981000,2215000,2750000,2600000,2862500,2692500,2858000,3150000,3262500,3001000,3050000,NA,4.4
DEER PARK,348000,365000,390000,441000,552500,580000,550000,580000,630000,635000,640000,655000,6.3
DELACOMBE,280000,292000,290000,319000,325000,360000,390000,410000,525000,570000,527500,545000,6.5
DELAHEY,372500,370000,400000,458000,545000,575000,530000,575000,645000,650000,639000,601000,5.5
DENNINGTON,320000,315000,345000,342500,345000,355000,360000,395000,485000,616500,581500,467500,6.2
DERRIMUT,417000,435000,466000,530000,635000,615000,649000,658000,715000,770000,739000,790500,5.9
DIAMOND CREEK,513000,550000,580000,646500,755000,782500,750500,797500,1000000,994500,983500,1020000,6.7
DIGGERS REST,280000,325000,325000,360000,440500,500000,515000,560000,614000,657500,657500,647500,8.9
DIMBOOLA,89000,90500,109500,107000,122500,130000,120000,154000,200000,247000,281000,440000,12.2
DINGLEY VILLAGE,553500,607000,690000,775500,887000,840500,810000,934000,1050000,1112000,1090000,962500,7.0
DINNER PLAIN,390000,309000,359000,400000,412500,510000,520000,565000,765000,975000,1200000,855000,11.9
DONALD,140000,120000,125000,145000,122000,145000,135500,145000,170000,225000,240000,240000,5.5
DONCASTER,850500,999000,1176000,1297500,1366500,1320000,1270000,1280000,1502000,1500000,1550000,1505000,6.2
DONCASTER EAST,789000,894500,1113500,1230000,1360000,1222000,1198000,1255000,1500000,1535000,1630000,1581000,7.5
DONNYBROOK,-,-,-,-,-,530000,540000,620000,600000,665000,650000,660000,NA
DONVALE,735000,840000,964000,970000,1200000,1182500,1140000,1195000,1337500,1440000,1438500,1215000,6.9
DOREEN,415000,430000,440000,470000,550000,601000,598000,623500,705000,741500,727000,731000,5.8
DOVETON,302000,310500,348000,405000,490000,543500,472000,500000,582500,625000,570000,606000,6.6
DROMANA,462000,492000,551000,583000,690000,786000,715000,762500,1000000,1100000,1052500,932500,8.6
DROUIN,300000,311000,320000,347000,390000,455000,440000,467000,565000,620000,621500,625000,7.6
DRYSDALE,380000,401500,410000,410000,440000,522500,575500,590000,682500,747000,726000,627500,6.7
DUNOLLY,182500,170000,167500,180000,179000,206500,234500,209500,265000,320000,335000,560000,6.3
EAGLE POINT,227000,267000,341500,255000,250000,290000,354000,394500,409500,580000,530000,630000,8.8
EAGLEHAWK,264000,273000,283000,270000,295000,315000,321500,360000,440000,510000,485000,545000,6.3
EAGLEMONT,1340000,1522000,1740000,1901000,1963000,1955000,1863000,2029000,2385000,2425000,2528500,1700000,6.6
EAST BAIRNSDALE,226000,160000,202500,212500,222000,227000,235000,320000,355000,380000,347500,406000,4.4
EAST BENDIGO,285000,330000,300000,303500,335000,318000,390000,389500,465000,570000,551500,580000,6.8
EAST GEELONG,450000,426500,440000,515500,600000,637500,632500,815000,920000,846000,835000,910000,6.4
EAST MELBOURNE,1790000,1850000,2750000,3655000,3585000,2675000,3090000,2862500,3300000,3127500,3363000,3625000,6.5
EAST WARBURTON,289500,275000,305000,369000,392500,428500,458000,532500,645000,620000,667500,NA,8.7
EASTWOOD,335000,342000,335000,357500,380000,385000,410000,417000,535000,590000,599000,570000,6.0
ECHUCA,285000,285000,300000,310000,320000,365000,372500,412000,467500,555000,580000,570000,7.4
EDENHOPE,160000,130000,115000,144500,160000,147000,169500,143000,206500,225000,266000,NA,5.2
EDITHVALE,615000,670000,766000,930000,1058500,1047500,950000,1029500,1240000,1362500,1280000,1608000,7.6
EILDON,210000,205000,208500,210000,225000,258000,251500,285000,350000,430000,450000,310000,7.9
ELLIMINYT,332000,313000,318000,364000,366500,385000,445000,470000,517000,675000,750000,540000,8.5
ELMORE,184000,178000,200000,220000,162000,227500,235000,245000,332500,405000,358000,321500,6.9
ELSTERNWICK,1365000,1315000,1621000,1723500,2087500,1970000,1825000,2081000,2175000,2265000,2165000,1467000,4.7
ELTHAM,631500,670000,750000,815000,930000,942500,928000,995000,1234500,1255000,1190000,1163500,6.5
ELTHAM NORTH,622000,680000,758000,854500,900000,930500,930000,1050000,1237500,1237000,1250000,1234000,7.2
ELWOOD,1350000,1412500,1631000,1841500,1900000,2140000,1950000,2110000,2216500,2605000,2200000,2775000,5.0
EMERALD,440000,449500,502000,545000,660500,730000,660000,732500,881000,950000,860000,800000,6.9
ENDEAVOUR HILLS,400000,432000,496500,550000,630500,651000,620000,672000,750000,815000,795000,760000,7.1
EPPING,366500,386500,400000,455000,556500,600000,546000,577000,654000,677000,668000,650000,6.2
EPSOM,322500,342500,340000,340000,352000,357000,371500,431000,530000,600000,582500,585000,6.1
ESSENDON,870000,942000,1228000,1365000,1400000,1691000,1450000,1520000,1750000,1841000,1760000,1550000,7.3
ESSENDON NORTH,725000,840000,808000,875000,1100000,1145000,1100000,1260000,1400000,1510000,1296000,1377500,6.0
ESSENDON WEST,720000,785000,920000,962500,1296000,1221000,1180000,1275000,1390000,1265500,1165000,1438000,4.9
EUMEMMERRING,353000,365000,408500,450500,517500,622000,540000,550000,628000,750500,665000,NA,6.5
EUREKA,243500,259000,247500,275000,251500,315500,360000,412500,430000,490000,523000,490000,7.9
EUROA,208000,230000,235500,265000,239000,270000,309000,360000,407500,475000,492500,450000,9.0
EYNESBURY,390500,390000,403500,459000,484000,550000,558500,600000,676500,710000,652500,657500,5.3
FAIRFIELD,915000,945000,1111500,1303000,1496000,1316000,1295000,1395500,1700000,1800000,1585000,1465000,5.6
FAWKNER,410000,444000,510000,587500,705000,720000,665000,715000,815000,770000,770000,755000,6.5
FERNTREE GULLY,451000,505000,599000,660000,749000,732500,692000,750000,865000,873000,890000,906000,7.0
FERNY CREEK,497500,492500,621000,735000,798000,830000,800000,908000,1120000,940000,890000,948000,6.0
FINGAL,677500,730000,857500,840000,1000000,1350000,1240000,1312500,1807500,1975000,2000000,NA,11.4
FITZROY,945000,1130000,1297500,1600000,1625000,1450000,1400000,1400000,1520000,1502500,1530000,1267000,4.9
FITZROY NORTH,976000,1014000,1188000,1279000,1450000,1475000,1385000,1600000,1706000,1632500,1600000,1870000,5.1
FIVEWAYS,355000,315000,380000,417500,525000,542500,485000,530000,751500,825000,670000,NA,6.6
FLEMINGTON,735500,730000,830000,918000,1100000,926500,1000000,1028500,1250000,1103500,1027500,1037500,3.4
FLINDERS,765000,808000,839000,1225000,1525000,1697500,1670000,2085000,2667500,3342000,2125000,1950000,10.8
