,2018,2019,2020,2021,2022,2023,2024
KEW EAST,1800000,1837000,1785000,1990000,2040000,2200000,NA
KEW NORTH,1767500,1833000,1840000,2097000,2255000,2237500,NA
KEYSBOROUGH,745000,735000,750000,849000,891000,913500,915000
KIALLA,418000,450000,482500,543000,640000,650000,665000
KILCUNDA,496000,533000,702500,865000,900000,810000,620000
KILLARA (WODONGA),420000,453500,447500,560000,658500,650000,570000
KILMORE,440000,435000,477000,548000,600000,590000,570000
KILSYTH,685500,645000,677500,781000,840000,810000,785000
KILSYTH SOUTH,826000,780500,870000,977500,1080000,1045000,1072500
KINGLAKE,480000,555000,600000,640000,770000,662500,682500
KINGS PARK,550000,510000,550000,600000,630000,600000,617500
KINGSBURY,730000,660000,732500,850000,782000,785000,758000
KINGSVILLE,990000,1010000,970000,1225000,1287500,1200000,1030000
KNOXFIELD,815000,760000,810000,980000,970000,950000,1060000
KOO WEE RUP,508500,550000,540000,610000,700000,668500,685000
KOONDROOK,268000,212500,254000,320000,320000,320000,552500
KOROIT,352000,347500,390000,490000,580000,582500,520000
KORUMBURRA,317500,320000,391000,480000,525000,550000,495000
KURUNJANG,435000,420000,432000,485000,550000,520000,512500
KYABRAM,261000,263000,280000,319500,400000,455000,485000
KYNETON,550000,595000,614000,755000,897500,775000,710000
LAKE BOGA,232500,239000,230000,320000,391000,446000,NA
LAKE BUNGA,380000,300000,350000,600000,650000,525000,630000
LAKE GARDENS,575000,552500,607500,705000,738500,785000,686500
LAKE TYERS BEACH,300000,357500,375000,505000,645000,590000,540000
LAKE WENDOUREE,775000,855000,1000000,1230000,1275000,1300000,865000
LAKES ENTRANCE,328000,300000,350000,422500,540000,512500,578500
LALOR,625000,590000,623000,700000,700000,680000,691500
LANCEFIELD,456000,500000,540000,685000,671500,625000,596500
LANG LANG,475000,495000,540000,657000,720000,707500,672500
LANGWARRIN,642500,610000,660000,805000,860000,835000,810000
LARA,515000,495000,535000,682500,700000,682500,658500
LARA LAKE,525000,535500,575000,663000,702000,710000,672500
LAUNCHING PLACE,531000,554000,572500,688500,778500,650000,670000
LAVERTON,579000,529000,560000,605000,610000,585000,576000
LAVERTON SOUTH,646000,622500,647500,730000,751000,735000,806000
LENEVA,387500,426000,470000,554000,650000,685000,650000
LEONGATHA,360000,370000,426000,505000,589000,580000,570000
LEOPOLD,500500,510000,535000,652000,709000,680000,717500
LILYDALE,705000,675500,710000,844500,870000,926000,893000
LINDENOW,313500,282500,282500,385000,466000,372500,NA
LISMORE,132500,144500,220000,176000,277500,255000,142500
LOCH SPORT,230000,245000,247000,324500,392500,390000,330000
LONG GULLY,269000,280000,299500,385000,451500,400000,384500
LONGWARRY,403000,406000,427500,512500,575000,570000,550000
LORNE,1275000,1297500,1497500,1960000,2200000,1925000,2100000
LOVELY BANKS,525000,570000,565000,662500,767500,690000,695000
LOWER PLENTY,1055000,950000,909500,1220000,1350000,1319000,1200000
LUCAS,395000,431000,465000,582500,705000,640000,617500
LUCKNOW,280000,275000,314500,355000,449000,400000,529000
LYNBROOK,640000,623000,660000,750000,810000,814500,870000
LYNDHURST,695000,665500,701500,815500,950000,905000,800000
LYSTERFIELD,976500,956500,994500,1132000,1267500,1305000,1209000
LYSTERFIELD SOUTH,1275000,775000,1410000,1618000,1844000,1925500,NA
MACEDON,815000,800000,883000,1130000,1073000,1105000,920000
MACLEOD,922500,922500,972500,1156500,1135000,1150000,1190000
MADDINGLEY,442000,460000,521000,560000,635000,625000,600000
MAFFRA,261500,255000,315000,338000,376500,425000,497500
MAIDEN GULLY,495500,514000,579000,725000,760000,797500,731000
MAIDSTONE,798500,779000,789500,852500,888000,895000,860000
MALDON,420000,510000,546500,624500,735500,742500,650000
MALLACOOTA,280000,406500,415000,488500,527500,555000,685000
MALMSBURY,465000,475000,505000,757500,785000,767500,NA
MALVERN,2661000,2570000,2865000,3001000,2935000,3000000,3123500
MALVERN EAST,1900000,1789000,1895000,2112500,2282500,2175000,2113500
