Suburb,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Prelim 2025,Change 23-24,Change 14-24,PA 14-24,PA 2014-24,PA 2015-24,PA 2016-24,PA 2017-24,PA 2018-24,PA 2019-24,PA 2020-24,PA 2021-24,PA 2022-24,PA 2023-24
SPRINGVALE SOUTH,475000.0,562000.0,630000.0,720000.0,720000.0,679000.0,725000.0,800000.0,810000.0,810500.0,850500.0,773500,5.0,79.0,6.0,6.0,4.7,3.8,2.4,2.8,4.6,4.1,2.1,2.5,4.9
ST ALBANS,373500.0,428000.0,500000.0,610000.0,626500.0,594000.0,600000.0,675000.0,682000.0,645000.0,652000.0,627500,1.0,75.0,5.7,5.7,4.8,3.4,1.0,0.7,1.9,2.1,-1.1,-2.2,1.1
ST HELENA,623000.0,711000.0,800000.0,893500.0,910000.0,905000.0,930000.0,1137500.0,1010000.0,1175000.0,1195000.0,^ 1250000,2.0,92.0,6.7,6.7,5.9,5.1,4.2,4.6,5.7,6.5,1.7,8.8,1.7
ST KILDA,1225000.0,1164000.0,1305000.0,1551000.0,1755000.0,1600000.0,1341000.0,1705500.0,1710000.0,1503000.0,1515000.0,^ 1255500,1.0,24.0,2.1,2.1,3.0,1.9,-0.3,-2.4,-1.1,3.1,-3.9,-5.9,0.8
ST KILDA EAST,1037500.0,1382500.0,1677500.0,1460000.0,1620000.0,1560500.0,1650000.0,1840000.0,1785000.0,1667500.0,1690500.0,^ 1580000,1.0,63.0,5.0,5.0,2.3,0.1,2.1,0.7,1.6,0.6,-2.8,-2.7,1.4
ST KILDA WEST,2235000.0,2013000.0,1797000.0,2380000.0,1942500.0,2465000.0,2630000.0,3300000.0,2742500.0,2855000.0,1975000.0,,-31.0,-12.0,-1.2,-1.2,-0.2,1.2,-2.6,0.3,-4.3,-6.9,-15.7,-15.1,-30.8
STRATHMORE,865000.0,997500.0,1140000.0,1230000.0,1357500.0,1310000.0,1360000.0,1570000.0,1605000.0,1416500.0,1612000.0,^ 1561500,14.0,86.0,6.4,6.4,5.5,4.4,3.9,2.9,4.2,4.3,0.9,0.2,13.8
STRATHMORE HEIGHTS,640000.0,700000.0,808000.0,970000.0,885000.0,800000.0,835000.0,962500.0,,1056000.0,972500.0,,-8.0,52.0,4.3,4.3,3.7,2.3,0.0,1.6,4.0,3.9,0.3,,-7.9
SUNSHINE,483500.0,530500.0,675000.0,765000.0,742000.0,720000.0,750000.0,870000.0,856500.0,800000.0,820000.0,710000,3.0,70.0,5.4,5.4,5.0,2.5,1.0,1.7,2.6,2.3,-2.0,-2.2,2.5
SUNSHINE NORTH,425500.0,495000.0,560000.0,653000.0,673500.0,647000.0,689500.0,710000.0,750000.0,724500.0,750000.0,690000,4.0,76.0,5.8,5.8,4.7,3.7,2.0,1.8,3.0,2.1,1.8,0.0,3.5
SUNSHINE WEST,395000.0,450000.0,520000.0,639000.0,635000.0,635000.0,657000.0,740000.0,750000.0,700000.0,685000.0,680000,-2.0,73.0,5.7,5.7,4.8,3.5,1.0,1.3,1.5,1.0,-2.5,-4.4,-2.1
SURREY HILLS,1450000.0,1750000.0,1800500.0,2170000.0,1900000.0,1890000.0,1880000.0,2310000.0,2283000.0,2402500.0,2271000.0,^ 2770000,-5.0,57.0,4.6,4.6,2.9,2.9,0.7,3.0,3.7,4.8,-0.6,-0.3,-5.5
SYDENHAM,415000.0,440000.0,505000.0,590000.0,615000.0,591500.0,635000.0,690000.0,697500.0,741500.0,704000.0,708500,-5.0,70.0,5.4,5.4,5.4,4.2,2.6,2.3,3.5,2.6,0.7,0.5,-5.1
TARNEIT,395000.0,400000.0,445000.0,515000.0,570000.0,550000.0,570000.0,601500.0,650000.0,652000.0,650000.0,650000,0.0,65.0,5.1,5.1,5.5,4.9,3.4,2.2,3.4,3.3,2.6,0.0,-0.3
TAYLORS LAKES,510000.0,561500.0,635000.0,720000.0,763500.0,750000.0,777500.0,883500.0,936000.0,922500.0,945000.0,910000,2.0,85.0,6.4,6.4,6.0,5.1,4.0,3.6,4.7,5.0,2.3,0.5,2.4
TECOMA,478000.0,510000.0,601500.0,709000.0,700000.0,662500.0,742500.0,920000.0,837500.0,838000.0,865000.0,^ 900000,3.0,81.0,6.1,6.1,6.0,4.6,2.9,3.6,5.5,3.9,-2.0,1.6,3.2
